State,Region,Product,ds,y
Louisiana,Acadiana,Annuities,2007-07-01,188.92
Louisiana,Acadiana,Annuities,2007-10-01,223.15
Louisiana,Acadiana,Annuities,2008-01-01,243.62
Louisiana,Acadiana,Annuities,2008-04-01,186.87
Louisiana,Acadiana,Annuities,2008-07-01,179.0
Louisiana,Acadiana,Annuities,2008-10-01,218.87
Louisiana,Acadiana,Annuities,2009-01-01,193.94
Louisiana,Acadiana,Annuities,2009-04-01,166.56
Louisiana,Acadiana,Annuities,2009-07-01,206.98
Louisiana,Acadiana,Annuities,2009-10-01,199.92
Louisiana,Acadiana,Annuities,2010-01-01,177.36
Louisiana,Acadiana,Annuities,2010-04-01,190.4
Louisiana,Acadiana,Annuities,2010-07-01,136.61
Louisiana,Acadiana,Annuities,2010-10-01,174.77
Louisiana,Acadiana,Annuities,2011-01-01,213.88
Louisiana,Acadiana,Annuities,2011-04-01,185.4
Louisiana,Acadiana,Annuities,2011-07-01,145.35
Louisiana,Acadiana,Annuities,2011-10-01,206.57
Louisiana,Acadiana,Annuities,2012-01-01,177.43
Louisiana,Acadiana,Annuities,2012-04-01,165.96
Louisiana,Acadiana,Annuities,2012-07-01,174.45
Louisiana,Acadiana,Annuities,2012-10-01,236.47
Louisiana,Acadiana,Annuities,2013-01-01,177.73
Louisiana,Acadiana,Annuities,2013-04-01,213.42
Louisiana,Acadiana,Annuities,2013-07-01,197.11
Louisiana,Acadiana,Annuities,2013-10-01,180.19
Louisiana,Acadiana,Annuities,2014-01-01,211.31
Louisiana,Acadiana,Annuities,2014-04-01,244.5
Louisiana,Acadiana,Annuities,2014-07-01,140.39
Louisiana,Acadiana,Annuities,2014-10-01,261.63
Louisiana,Acadiana,Annuities,2015-01-01,217.49
Louisiana,Acadiana,Annuities,2015-04-01,204.6
Louisiana,Acadiana,Annuities,2015-07-01,213.51
Louisiana,Acadiana,Annuities,2015-10-01,259.3
Louisiana,Acadiana,Annuities,2016-01-01,252.28
Louisiana,Acadiana,Annuities,2016-04-01,219.17
Louisiana,Acadiana,Annuities,2016-07-01,203.75
Louisiana,Acadiana,Annuities,2016-10-01,251.29
Louisiana,Acadiana,Annuities,2017-01-01,269.54
Louisiana,Acadiana,Annuities,2017-04-01,218.39
Louisiana,Acadiana,Annuities,2017-07-01,229.05
Louisiana,Acadiana,Annuities,2017-10-01,237.63
Louisiana,Acadiana,Term Life,1998-01-01,0.0
Louisiana,Acadiana,Term Life,1998-04-01,0.0
Louisiana,Acadiana,Term Life,1998-07-01,7.42
Louisiana,Acadiana,Term Life,1998-10-01,0.0
Louisiana,Acadiana,Term Life,1999-01-01,0.67
Louisiana,Acadiana,Term Life,1999-04-01,0.95
Louisiana,Acadiana,Term Life,1999-07-01,0.0
Louisiana,Acadiana,Term Life,1999-10-01,0.0
Louisiana,Acadiana,Term Life,2000-01-01,0.0
Louisiana,Acadiana,Term Life,2000-04-01,0.62
Louisiana,Acadiana,Term Life,2000-07-01,4.92
Louisiana,Acadiana,Term Life,2000-10-01,7.26
Louisiana,Acadiana,Term Life,2001-01-01,0.0
Louisiana,Acadiana,Term Life,2001-04-01,5.41
Louisiana,Acadiana,Term Life,2001-07-01,1.88
Louisiana,Acadiana,Term Life,2001-10-01,0.99
Louisiana,Acadiana,Term Life,2002-01-01,0.0
Louisiana,Acadiana,Term Life,2002-04-01,2.28
Louisiana,Acadiana,Term Life,2002-07-01,0.0
Louisiana,Acadiana,Term Life,2002-10-01,0.0
Louisiana,Acadiana,Term Life,2003-01-01,0.0
Louisiana,Acadiana,Term Life,2003-04-01,2.27
Louisiana,Acadiana,Term Life,2003-07-01,2.49
Louisiana,Acadiana,Term Life,2003-10-01,0.0
Louisiana,Acadiana,Term Life,2004-01-01,4.11
Louisiana,Acadiana,Term Life,2004-04-01,6.12
Louisiana,Acadiana,Term Life,2004-07-01,28.6
Louisiana,Acadiana,Term Life,2004-10-01,5.15
Louisiana,Acadiana,Term Life,2005-01-01,5.96
Louisiana,Acadiana,Term Life,2005-04-01,7.0
Louisiana,Acadiana,Term Life,2005-07-01,0.72
Louisiana,Acadiana,Term Life,2005-10-01,0.0
Louisiana,Acadiana,Term Life,2006-01-01,1.32
Louisiana,Acadiana,Term Life,2006-04-01,1.35
Louisiana,Acadiana,Term Life,2006-07-01,0.79
Louisiana,Acadiana,Term Life,2006-10-01,2.59
Louisiana,Acadiana,Term Life,2007-01-01,3.49
Louisiana,Acadiana,Term Life,2007-04-01,1.94
Louisiana,Acadiana,Term Life,2007-07-01,0.96
Louisiana,Acadiana,Term Life,2007-10-01,7.42
Louisiana,Acadiana,Term Life,2008-01-01,4.51
Louisiana,Acadiana,Term Life,2008-04-01,5.18
Louisiana,Acadiana,Term Life,2008-07-01,0.77
Louisiana,Acadiana,Term Life,2008-10-01,0.0
Louisiana,Acadiana,Term Life,2009-01-01,0.47
Louisiana,Acadiana,Term Life,2009-04-01,1.74
Louisiana,Acadiana,Term Life,2009-07-01,0.0
Louisiana,Acadiana,Term Life,2009-10-01,7.09
Louisiana,Acadiana,Term Life,2010-01-01,1.26
Louisiana,Acadiana,Term Life,2010-04-01,1.55
Louisiana,Acadiana,Term Life,2010-07-01,4.41
Louisiana,Acadiana,Term Life,2010-10-01,0.75
Louisiana,Acadiana,Term Life,2011-01-01,0.83
Louisiana,Acadiana,Term Life,2011-04-01,1.49
Louisiana,Acadiana,Term Life,2011-07-01,8.92
Louisiana,Acadiana,Term Life,2011-10-01,1.36
Louisiana,Acadiana,Term Life,2012-01-01,0.0
Louisiana,Acadiana,Term Life,2012-04-01,3.01
Louisiana,Acadiana,Term Life,2012-07-01,0.0
Louisiana,Acadiana,Term Life,2012-10-01,4.77
Louisiana,Acadiana,Term Life,2013-01-01,1.77
Louisiana,Acadiana,Term Life,2013-04-01,2.67
Louisiana,Acadiana,Term Life,2013-07-01,0.0
Louisiana,Acadiana,Term Life,2013-10-01,0.0
Louisiana,Acadiana,Term Life,2014-01-01,0.0
Louisiana,Acadiana,Term Life,2014-04-01,1.25
Louisiana,Acadiana,Term Life,2014-07-01,0.0
Louisiana,Acadiana,Term Life,2014-10-01,0.0
Louisiana,Acadiana,Term Life,2015-01-01,0.71
Louisiana,Acadiana,Term Life,2015-04-01,1.81
Louisiana,Acadiana,Term Life,2015-07-01,16.27
Louisiana,Acadiana,Term Life,2015-10-01,0.0
Louisiana,Acadiana,Term Life,2016-01-01,14.69
Louisiana,Acadiana,Term Life,2016-04-01,0.0
Louisiana,Acadiana,Term Life,2016-07-01,3.86
Louisiana,Acadiana,Term Life,2016-10-01,0.12
Louisiana,Acadiana,Term Life,2017-01-01,0.98
Louisiana,Acadiana,Term Life,2017-04-01,4.3
Louisiana,Acadiana,Term Life,2017-07-01,1.94
Louisiana,Acadiana,Term Life,2017-10-01,0.0
Louisiana,Acadiana,Whole Life,1998-01-01,6.81
Louisiana,Acadiana,Whole Life,1998-04-01,13.67
Louisiana,Acadiana,Whole Life,1998-07-01,12.92
Louisiana,Acadiana,Whole Life,1998-10-01,18.14
Louisiana,Acadiana,Whole Life,1999-01-01,10.91
Louisiana,Acadiana,Whole Life,1999-04-01,16.78
Louisiana,Acadiana,Whole Life,1999-07-01,6.92
Louisiana,Acadiana,Whole Life,1999-10-01,9.7
Louisiana,Acadiana,Whole Life,2000-01-01,15.02
Louisiana,Acadiana,Whole Life,2000-04-01,15.03
Louisiana,Acadiana,Whole Life,2000-07-01,35.75
Louisiana,Acadiana,Whole Life,2000-10-01,6.9
Louisiana,Acadiana,Whole Life,2001-01-01,0.0
Louisiana,Acadiana,Whole Life,2001-04-01,8.57
Louisiana,Acadiana,Whole Life,2001-07-01,6.84
Louisiana,Acadiana,Whole Life,2001-10-01,2.1
Louisiana,Acadiana,Whole Life,2002-01-01,10.07
Louisiana,Acadiana,Whole Life,2002-04-01,13.97
Louisiana,Acadiana,Whole Life,2002-07-01,8.21
Louisiana,Acadiana,Whole Life,2002-10-01,11.24
Louisiana,Acadiana,Whole Life,2003-01-01,7.69
Louisiana,Acadiana,Whole Life,2003-04-01,1.24
Louisiana,Acadiana,Whole Life,2003-07-01,8.14
Louisiana,Acadiana,Whole Life,2003-10-01,2.78
Louisiana,Acadiana,Whole Life,2004-01-01,20.61
Louisiana,Acadiana,Whole Life,2004-04-01,4.06
Louisiana,Acadiana,Whole Life,2004-07-01,16.16
Louisiana,Acadiana,Whole Life,2004-10-01,8.49
Louisiana,Acadiana,Whole Life,2005-01-01,9.0
Louisiana,Acadiana,Whole Life,2005-04-01,7.24
Louisiana,Acadiana,Whole Life,2005-07-01,6.49
Louisiana,Acadiana,Whole Life,2005-10-01,3.53
Louisiana,Acadiana,Whole Life,2006-01-01,9.26
Louisiana,Acadiana,Whole Life,2006-04-01,6.68
Louisiana,Acadiana,Whole Life,2006-07-01,5.77
Louisiana,Acadiana,Whole Life,2006-10-01,5.64
Louisiana,Acadiana,Whole Life,2007-01-01,7.78
Louisiana,Acadiana,Whole Life,2007-04-01,5.3
Louisiana,Acadiana,Whole Life,2007-07-01,4.86
Louisiana,Acadiana,Whole Life,2007-10-01,12.39
Louisiana,Acadiana,Whole Life,2008-01-01,4.77
Louisiana,Acadiana,Whole Life,2008-04-01,8.32
Louisiana,Acadiana,Whole Life,2008-07-01,8.54
Louisiana,Acadiana,Whole Life,2008-10-01,7.9
Louisiana,Acadiana,Whole Life,2009-01-01,6.73
Louisiana,Acadiana,Whole Life,2009-04-01,3.76
Louisiana,Acadiana,Whole Life,2009-07-01,6.59
Louisiana,Acadiana,Whole Life,2009-10-01,11.92
Louisiana,Acadiana,Whole Life,2010-01-01,2.51
Louisiana,Acadiana,Whole Life,2010-04-01,5.25
Louisiana,Acadiana,Whole Life,2010-07-01,6.75
Louisiana,Acadiana,Whole Life,2010-10-01,13.12
Louisiana,Acadiana,Whole Life,2011-01-01,6.34
Louisiana,Acadiana,Whole Life,2011-04-01,8.06
Louisiana,Acadiana,Whole Life,2011-07-01,5.62
Louisiana,Acadiana,Whole Life,2011-10-01,16.75
Louisiana,Acadiana,Whole Life,2012-01-01,4.64
Louisiana,Acadiana,Whole Life,2012-04-01,22.06
Louisiana,Acadiana,Whole Life,2012-07-01,4.75
Louisiana,Acadiana,Whole Life,2012-10-01,4.9
Louisiana,Acadiana,Whole Life,2013-01-01,2.91
Louisiana,Acadiana,Whole Life,2013-04-01,24.25
Louisiana,Acadiana,Whole Life,2013-07-01,13.62
Louisiana,Acadiana,Whole Life,2013-10-01,15.58
Louisiana,Acadiana,Whole Life,2014-01-01,13.5
Louisiana,Acadiana,Whole Life,2014-04-01,23.98
Louisiana,Acadiana,Whole Life,2014-07-01,5.76
Louisiana,Acadiana,Whole Life,2014-10-01,4.36
Louisiana,Acadiana,Whole Life,2015-01-01,11.34
Louisiana,Acadiana,Whole Life,2015-04-01,20.61
Louisiana,Acadiana,Whole Life,2015-07-01,15.55
Louisiana,Acadiana,Whole Life,2015-10-01,16.09
Louisiana,Acadiana,Whole Life,2016-01-01,23.94
Louisiana,Acadiana,Whole Life,2016-04-01,11.29
Louisiana,Acadiana,Whole Life,2016-07-01,15.49
Louisiana,Acadiana,Whole Life,2016-10-01,14.34
Louisiana,Acadiana,Whole Life,2017-01-01,12.92
Louisiana,Acadiana,Whole Life,2017-04-01,19.05
Louisiana,Acadiana,Whole Life,2017-07-01,17.7
Louisiana,Acadiana,Whole Life,2017-10-01,13.13
Louisiana,Acadiana,Annuities,1998-01-01,0.0
Louisiana,Acadiana,Annuities,1998-04-01,4.64
Louisiana,Acadiana,Annuities,1998-07-01,2.56
Louisiana,Acadiana,Annuities,1998-10-01,0.77
Louisiana,Acadiana,Annuities,1999-01-01,0.0
Louisiana,Acadiana,Annuities,1999-04-01,0.0
Louisiana,Acadiana,Annuities,1999-07-01,0.0
Louisiana,Acadiana,Annuities,1999-10-01,2.27
Louisiana,Acadiana,Annuities,2000-01-01,0.0
Louisiana,Acadiana,Annuities,2000-04-01,1.78
Louisiana,Acadiana,Annuities,2000-07-01,0.0
Louisiana,Acadiana,Annuities,2000-10-01,0.0
Louisiana,Acadiana,Annuities,2001-01-01,0.35
